,price_in_crores,price_per_sqft,floorNum,property_type,noOfFloor,SuperBuiltupArea_sqft,BuiltupArea_sqft,CarpetArea_sqft,servantRoom,studyRoom,poojaRoom,storeRoom,otherAdditionalRoom,luxury_class
278,1.0,9007.0,3.0,1,1.0,,,1109.9743992,False,True,False,False,True,0
279,0.25,7862.0,0.0,1,1.0,,317.96590139999995,,False,False,False,False,False,0
280,3.5,15555.0,0.0,0,3.0,,2250.0,,True,True,True,False,True,1
281,0.89,8279.0,3.0,1,1.0,,,1074.9916917,False,False,False,False,True,0
282,,,0.0,0,4.0,,4680.0,,True,False,False,True,False,2
283,1.3,13499.0,0.0,0,3.0,,963.0470277,,False,False,False,False,False,0
284,0.53,8967.0,6.0,1,1.0,,,591.0462981,False,False,False,False,True,2
285,0.45,7614.0,10.0,1,1.0,,646.0498782,591.0,False,True,False,False,False,2
286,2.22,10596.0,14.0,1,1.0,2095.0,1860.0,,True,True,True,True,False,0
287,0.72,6660.0,3.0,1,1.0,1081.0,,,False,False,False,False,False,0
288,1.8,9474.0,9.0,1,1.0,,1900.0453932,,False,False,False,False,False,0
289,3.4,15111.0,0.0,0,1.0,,2250.0,,False,False,False,False,False,0
290,2.95,12110.0,14.0,1,1.0,2436.0,2236.0,2036.0,True,False,True,False,False,2
291,1.5,11755.0,13.0,1,1.0,1276.0,,,False,False,False,False,False,0
292,2.6,11438.0,2.0,1,1.0,2273.0,,1340.0,False,False,False,False,True,0
293,0.85,5556.0,10.0,1,1.0,1350.0,,,False,True,False,False,True,0
294,1.15,5750.0,2.0,1,1.0,2500.0,2000.0,1750.0,True,True,False,False,True,2
295,2.22,14322.0,4.0,1,1.0,1550.0,,,False,False,False,False,False,0
296,2.6,15758.0,3.0,1,1.0,,,1649.9997638999998,False,False,False,False,False,0
297,0.68,3874.0,0.0,0,1.0,,1754.9478863999998,,False,False,False,False,False,0
298,0.65,10172.0,10.0,1,1.0,639.0,,542.0,False,False,False,False,False,2
299,0.98,6961.0,0.0,1,1.0,1415.0,,,False,False,False,False,False,0
300,1.35,10384.0,1.0,1,1.0,1300.0,1275.0,1250.0,False,False,False,False,True,0
